name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist,has_preview,artist_encoded,avg_danceability,avg_energy,music_cluster,music_genre_label
Class Fight,Melanie Martinez,37pf8jSeCGlzgQPIfVHO6X,https://p.scdn.co/mp3-preview/64b34fc22d5cabb140b72e446e423f912e571c45?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2735945e0dce1af45d640cf06ea,1.1121104215797168,0.3031678074758749,-0.06164405693356782,-0.3757024829829968,0.471938342378965,-0.37117750479522366,0.7519731088943736,1.0633228867489641,0.11727107898781113,0.420489957058326,0.0764257485033786,-0.4706445688537289,-0.009546047695589609,-0.11213441737784975,-0.12830109798384917,True,632,0.7663001893190214,0.18979677798962674,5,Emotional
Partners in Crime (feat. Ash Costello),Set It Off,4oaU0fMSg3n9kqOwmLPVhH,https://p.scdn.co/mp3-preview/26b3c48de2e090a5abe1c6079708c866860eecf9?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27361a2e739fc2a853c99497fc7,-1.1702293377005184,1.2817370374188002,0.8879174205969672,-0.2792365938226929,-0.869522590578269,-0.37139085010420386,-0.45428035775210335,1.2310721368480482,-1.0323215543832727,-0.37215396973304044,1.3436338034443127,-0.47286369176011656,0.04010698587485661,0.1430789196856887,0.5668849146163478,True,852,-0.7711916537167794,1.3126854204315563,0,Energetic
Gnossienne: No. 1,Erik Satie,4820SC1xnUaabzzYQTDkP2,https://p.scdn.co/mp3-preview/40e335ad008efd0bf8f1180c2632af3ee3c83c27?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27364c483b91da5be610fc79a51,-0.8900444056149653,-2.6452781542254358,-3.8358048247256944,-0.36756680558393506,2.3430190702542237,3.453113235296638,-0.5715918212666234,-1.6386103834516372,2.6088657720390613,-1.169539875064493,-2.7046103722210524,2.9952514433199617,-0.6241775793951939,-0.17366074369646345,-1.3759429097553746,True,322,-1.0297921403397292,-2.674944263223244,4,Experimental
Lost In Love,Air Supply,6MfVSA5iKBPHzo6RGARjL0,https://p.scdn.co/mp3-preview/ecb87ba9fad2130cd8ad281a9a93106836e8987b?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273dabd5d51c868054fed2d6d68,0.03806818191842939,-1.346058782643453,-2.1189324348547274,-0.5779321783311038,0.4881803625862155,-0.3711564183402663,-0.4940469555536356,-0.2474619512345791,0.6953237482427734,-0.8539628002205565,-0.9741154534710278,-0.46570000247047166,0.18165256962451443,-0.7691252636560331,-1.0895799059421076,True,25,-0.40794730915106353,-1.1600871180572403,3,Dance
No Cap,Future,06Gyf2pFDVmN5K8XAawG96,https://p.scdn.co/mp3-preview/7750cabfddf797435ab1f8895153aa3b4d1cf00a?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2735998097d9467eccb3e99b8c1,1.3047375623885347,-0.47293882316851477,0.2922368532066315,0.2995587411391304,-0.8888830786653115,-0.37139085010420386,1.1098724891081635,-0.4698272362496444,-0.9429723829429626,-0.8736383291916051,1.6170815784535029,-0.47286369176011656,0.15636999650286973,3.392094188655353,-0.31742489007593133,True,352,0.21554961659846478,0.572071377642494,1,Chill
To Be Alone With You,Sufjan Stevens,3tchJ8gDgMdaSxpaLxlr1F,https://p.scdn.co/mp3-preview/b0065987280a8bd8692ec1ab91e001c3a480f12c?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273ea68b6c04d0d66a62baa68f0,-0.3355117275289745,-1.9914083179075377,-1.8987525116646031,-0.3757024829829968,2.1156307873527167,2.733693007340155,-0.4609081240523587,-0.5595535793258989,2.317814886878149,-0.35903142746350514,-1.9102884952216868,0.7893859710916206,-0.22292197865021815,-0.6843025405876388,-0.6116983703461635,True,896,-0.3472715774962398,-1.9508484065646123,4,Experimental
Return to Serenity,Testament,5awljpWNO5TpXCyjpvCBbs,https://p.scdn.co/mp3-preview/281c626d443a575bbb70bd9c386848c4899933ae?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27366cc5ccc3c9a8c45a8831682,-1.648878596680005,-0.09332144948375919,-0.4566783205037904,-0.5093600402532974,-0.13226480933075382,-0.3693318197966043,-0.30184173284622984,-1.047196748218586,-1.05373452448224,-1.8714522896414678,0.8963889329725501,-0.0677962582860422,-0.4082406010871895,-0.4229834144462543,-0.4605910819097699,True,917,-1.7601654431607363,0.40153374174439543,0,Energetic
Little Things,Bush,5topOIcCwU391xE5Oyhh62,https://p.scdn.co/mp3-preview/9f6c987932b6859b8378f915c13d47b66d8b23e1?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273b915466e715e0bf6c3da35a1,-1.362856478509336,1.2690831249626422,0.9108646821869798,-0.06306002293333715,-0.8919560688885233,-0.37139085010420386,-0.10300874383856949,-1.125219655241416,0.057723289133285983,0.7831869548296653,-0.37869278328424816,-0.4727148047221294,-0.8565679402243271,-0.016745207686208206,1.0840251512784997,True,164,-0.28983476183983536,0.445195170839197,0,Energetic
Gimme More,Britney Spears,6ic8OlLUNEATToEFU3xmaH,https://p.scdn.co/mp3-preview/933d11a18d0ec4884f4a9620f4d628a7295e8faf?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273ca10fae7d292c52f7e8b11ca,1.2346913293671458,0.8810298096404475,0.9459493383369997,-0.5558496253907932,-0.08029034466755225,-0.36858759197458035,-0.743913745073263,-0.4581238001962199,-0.5044570378491079,1.1320862975132766,0.6660231733273687,-0.4591277209734609,0.3414536921581348,-0.27402293843656983,1.1809533626088464,True,152,1.183388813440211,0.7735264914839082,5,Emotional
Nearly Witches (Ever Since We Met...),Panic! At The Disco,2KA3lvDwQQiyvuJJvzifGL,https://p.scdn.co/mp3-preview/185fa80ead2080045854161f8597fad3af676bf3?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d8f40ad88ed77a939b716d19,0.13730034536539623,-0.08910347866503968,0.6506692863068334,0.08454440987821205,-0.8706595319927766,-0.37139085010420386,-0.12289204273933489,-0.6180707595930213,-0.5796030636042911,-0.5637457936139693,0.6876149677439873,-0.4123687763333528,0.34910904181252517,-0.04355953631580459,0.027430775580383197,True,722,-0.2132227241242865,0.29925574453947384,0,Energetic
Sink Or Swim,Falling In Reverse,7bsUUgGrtXLxnyjLs226xN,https://p.scdn.co/mp3-preview/1b58b499bcbab7d9a1c31322d6bf788a34d797f6?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2732a4546ed22694f4297f6bdb9,0.008882251492850907,1.1551979128572154,0.8194549294069284,1.380441595585909,-0.8150793388435653,-0.37139085010420386,0.486862456884159,-0.4581238001962199,-0.8333673406293037,-0.7181175668631858,1.2120471744347106,-0.47286216001207515,0.2576667494730754,0.5916275419949056,-0.13403900615189115,True,331,-0.35461765768516745,1.183622543645963,0,Energetic
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,6kex4EBAj0WHXDKZMEJaaF,https://p.scdn.co/mp3-preview/9aa4e0500aae8b33d04f031c454688890ab06468?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2739d6522bee68370fa5592301d,0.6976702095365024,0.7671445975350207,0.8073175348469216,0.32280353370787834,-0.64876105192132,-0.37139085010420386,0.0162910495660278,1.1023343402603791,-0.7709999385289001,0.5219347953365618,0.49505173703598304,-0.47284738606243903,0.05662786114568393,0.3110748037402972,0.6464095910097273,True,446,0.6098025024365321,0.6310981672855018,5,Emotional
Wild World - 2009 Remastered Version,Mr. Big,2kj5f1eRhUFhW6K0qUwoD8,https://p.scdn.co/mp3-preview/451d85c47ab3ca57b01ee580a87a45ac217d625e?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27374febf421a21b2acfeb58d4b,-0.020303678932727574,0.36643736975666713,0.30361566060663786,-0.6011769708998517,-0.3011818194861592,-0.37139085010420386,0.6989509784923307,0.3533144328412114,-0.3644853128751669,-0.13408828786714164,0.10695872866373662,-0.47277247356499225,-0.16958816652295597,-0.3697935039042615,-0.4592690692746938,True,670,-0.07719598339993461,0.23669804921020188,0,Energetic
